work_area,station,latitude,longitude,time,bottom_date_time,depth,temperature,salinity,dissolved_oxygen_ml_l
,,degrees_north,degrees_east,UTC,UTC,m,degree_Celsius,PSU,mL L-1
CALVERT,KC12,51.6504,-128.07,2016-02-26T19:04:15Z,2016-02-26T19:04:35Z,1.921,8.204,29.7274,6.9106
CALVERT,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,2016-03-18T17:40:57Z,1.875,8.5632,29.1144,6.8983
CALVERT,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,2016-03-18T17:40:57Z,1.874,8.5632,29.1144,6.8983
CALVERT,KC12,51.6504,-128.07,2016-04-07T21:13:47Z,2016-04-07T21:14:54Z,1.923,9.651,28.2873,7.9002
CALVERT,KC12,51.6504,-128.07,2016-04-07T21:19:38Z,2016-04-07T21:19:56Z,1.937,9.6751,28.4656,7.8514
CALVERT,KC12,51.6504,-128.07,2016-05-18T18:23:47Z,2016-05-18T18:24:09Z,2.024,11.4913,28.4294,
CALVERT,KC12,51.6504,-128.07,2016-05-18T18:28:55Z,2016-05-18T18:29:11Z,2.02,11.4209,28.537,
CALVERT,KC12,51.6504,-128.07,2016-06-08T20:48:58Z,2016-06-08T20:50:18Z,1.985,12.8762,29.9077,7.2552
CALVERT,KC12,51.6504,-128.07,2016-06-08T20:56:23Z,2016-06-08T20:56:41Z,1.897,12.8628,29.8176,7.0429
CALVERT,KC12,51.6504,-128.07,2016-06-29T16:09:26Z,2016-06-29T16:09:40Z,1.957,14.4596,29.0989,7.7589
CALVERT,KC12,51.6504,-128.07,2016-06-29T16:11:15Z,2016-06-29T16:12:47Z,2.034,14.4512,29.1227,7.6984
CALVERT,KC12,51.6504,-128.07,2016-07-20T17:52:26Z,2016-07-20T17:52:33Z,2.021,13.5838,28.7697,
CALVERT,KC12,51.6504,-128.07,2016-07-20T17:57:47Z,2016-07-20T17:58:06Z,2.005,12.9132,29.4189,
CALVERT,KC12,51.6504,-128.07,2016-08-10T16:39:27Z,2016-08-10T16:39:59Z,2.012,12.5758,29.2944,7.4592
CALVERT,KC12,51.6504,-128.07,2016-08-10T16:45:24Z,2016-08-10T16:45:39Z,1.907,12.5717,29.2506,7.099
