work_area,station,latitude,longitude,time,bottom_date_time,depth,temperature,salinity,dissolved_oxygen_ml_l
,,degrees_north,degrees_east,UTC,UTC,m,degree_Celsius,PSU,mL L-1
CALVERT,KFPC06,51.811267,-128.233617,2016-07-10T18:14:19Z,2016-07-10T18:14:44Z,1.992,14.1697,29.6993,6.5694
CALVERT,KFPC06,51.811267,-128.233617,2016-07-25T18:26:26Z,2016-07-25T18:29:56Z,1.988,14.6664,30.8035,6.4025
CALVERT,KFPC06,51.811267,-128.233617,2016-07-25T18:35:39Z,2016-07-25T18:36:02Z,2.015,14.6159,30.8234,6.441
CALVERT,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,2016-08-15T19:33:56Z,1.943,14.4891,31.0278,7.187
CALVERT,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,2016-08-15T19:33:56Z,1.943,14.4891,31.0278,7.187
CALVERT,KFPC06,51.811267,-128.233617,2016-09-06T18:39:25Z,2016-09-06T18:42:35Z,1.994,12.851,29.942,6.888
CALVERT,KFPC06,51.811267,-128.233617,2016-09-06T18:47:33Z,2016-09-06T18:47:49Z,1.961,12.9495,29.8747,6.9311
CALVERT,KFPC06,51.811267,-128.233617,2016-09-27T21:11:18Z,2016-09-27T21:14:14Z,1.959,11.8389,30.175,6.5195
CALVERT,KFPC06,51.811267,-128.233617,2016-09-27T21:21:53Z,2016-09-27T21:22:10Z,1.987,11.7907,30.2019,6.4866
CALVERT,KFPC06,51.811267,-128.233617,2017-03-26T21:13:09Z,2017-03-26T21:13:18Z,2.006,6.7735,30.4152,8.2493
CALVERT,KFPC06,51.811267,-128.233617,2017-05-06T16:32:24Z,2017-05-06T16:34:01Z,1.894,,,
CALVERT,KFPC06,51.811267,-128.233617,2017-05-06T16:39:52Z,2017-05-06T16:40:10Z,1.968,9.552,30.3135,
CALVERT,KFPC06,51.811267,-128.233617,2017-05-28T17:14:10Z,2017-05-28T17:14:35Z,2.018,10.7101,30.3911,7.651
CALVERT,KFPC06,51.811267,-128.233617,2017-06-12T16:18:30Z,2017-06-12T16:21:33Z,1.918,12.0805,29.2535,
CALVERT,KFPC06,51.811267,-128.233617,2017-06-12T16:18:30Z,2017-06-12T16:21:33Z,1.918,12.0805,29.2535,6.793
CALVERT,KFPC06,51.811267,-128.233617,2017-07-06T16:53:40Z,2017-07-06T16:55:46Z,1.919,13.4889,30.355,7.4462
CALVERT,KFPC06,51.811267,-128.233617,2017-07-20T17:47:43Z,2017-07-20T17:50:34Z,2.009,14.6776,30.3792,7.1371
CALVERT,KFPC06,51.811267,-128.233617,2017-07-20T17:47:43Z,2017-07-20T17:47:59Z,2.032,14.6776,30.3792,7.1371
