Date,Year,Month,WaterYear,TWtrTriquet_bay01_Q_level,TWtrTriquet_bay01_Q_flags,TWtrTriquet_bay01_UNESCO_Q_level,TWtrTriquet_bay01,TWtrTriquet_bay01_Med,TWtrTriquet_bay01_Avg,TWtrTriquet_bay01_Min,TWtrTriquet_bay01_Max
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2017-01-17,2017,Jan,2016-2017,1,,2,7.645,7.594,7.59868402777778,7.5315,7.645
2017-01-18,2017,Jan,2016-2017,1,,2,7.77,7.695,7.697171875,7.619,7.77
2017-01-19,2017,Jan,2016-2017,1,,2,7.695,7.695,7.69822048611111,7.619,7.77
2017-01-20,2017,Jan,2016-2017,1,,2,7.444,7.594,7.60262326388889,7.419,7.695
2017-01-21,2017,Jan,2016-2017,1,,2,7.293,7.368,7.30558159722222,7.015,7.444
2017-01-22,2017,Jan,2016-2017,1,,2,7.393,7.268,7.25001388888889,6.965,7.393
2017-01-23,2017,Jan,2016-2017,1,,2,7.268,7.226375,7.141015625,6.763,7.393
2017-01-24,2017,Jan,2016-2017,1,,2,7.116,6.97125,6.988125,6.737,7.268
2017-01-25,2017,Jan,2016-2017,1,,2,7.066,7.03125,7.01819097222222,6.788,7.192
2017-01-26,2017,Jan,2016-2017,1,,2,7.444,7.192,7.16430902777778,6.94,7.444
2017-01-27,2017,Jan,2016-2017,1,,2,7.72,7.62225,7.59970833333333,7.419,7.72
2017-01-28,2017,Jan,2016-2017,1,,2,7.72,7.7825,7.77347222222222,7.695,7.87
2017-01-29,2017,Jan,2016-2017,1,,2,7.393,7.619,7.64031076388889,7.318,7.77
2017-01-30,2017,Jan,2016-2017,1,,2,7.519,7.229625,7.30798958333333,6.661,7.695
2017-01-31,2017,Jan,2016-2017,1,,2,5.745,6.524875,6.73704513888889,5.668,7.745
2017-02-01,2017,Feb,2016-2017,1,,2,5.898,6.3695,6.20522743055556,5.076,7.192
2017-02-02,2017,Feb,2016-2017,1,,2,5.642,5.949125,6.00506944444444,5.102,6.889
2017-02-03,2017,Feb,2016-2017,1,,2,5.462,5.95575,5.85915277777778,4.921,6.458
2017-02-04,2017,Feb,2016-2017,1,,2,5.128,5.73825,5.69119791666667,4.818,6.357
2017-02-05,2017,Feb,2016-2017,1,,2,4.999,5.414125,5.40804340277778,4.506,5.975
2017-02-06,2017,Feb,2016-2017,1,,2,5.308,5.1665,5.04696354166667,3.958,5.693
2017-02-07,2017,Feb,2016-2017,1,,2,5.231,5.2695,5.16634895833333,4.376,5.693
2017-02-08,2017,Feb,2016-2017,1,,2,5.719,5.230875,5.24961805555556,4.35,5.847
2017-02-09,2017,Feb,2016-2017,1,,2,6,5.3015,5.38330381944444,4.766,6
2017-02-10,2017,Feb,2016-2017,1,,2,6.102,5.741375,5.69980208333333,4.999,6.102
2017-02-11,2017,Feb,2016-2017,1,,2,6.737,6.098875,6.08235590277778,5.616,6.737
2017-02-12,2017,Feb,2016-2017,1,,2,7.066,6.955625,6.86099826388889,6.433,7.066
2017-02-13,2017,Feb,2016-2017,1,,2,7.091,7.26475,7.23628298611111,7.015,7.469
2017-02-14,2017,Feb,2016-2017,1,,2,7.091,7.08475,7.07338888888889,6.99,7.192
2017-02-15,2017,Feb,2016-2017,1,,2,7.242,7.283625,7.22568229166667,7.091,7.343
2017-02-16,2017,Feb,2016-2017,1,,2,7.116,7.167,7.14872569444444,7.091,7.2295
2017-02-17,2017,Feb,2016-2017,1,,2,7.091,7.1035,7.13173784722222,7.015,7.343
2017-02-18,2017,Feb,2016-2017,1,,2,6.864,6.92375,6.90302604166667,6.484,7.091
2017-02-19,2017,Feb,2016-2017,1,,2,6.889,6.943125,6.95125520833333,6.839,7.217
2017-02-20,2017,Feb,2016-2017,1,,2,6.99,6.9775,6.94060243055555,6.788,7.142
2017-02-21,2017,Feb,2016-2017,1,,2,6.813,6.99,7.01175173611111,6.813,7.192
2017-02-22,2017,Feb,2016-2017,1,,2,6.839,6.74375,6.74525347222222,6.357,7.091
2017-02-23,2017,Feb,2016-2017,1,,2,6.737,6.357,6.39502430555556,5.796,6.864
2017-02-24,2017,Feb,2016-2017,1,,2,6.661,6.4455,6.27517361111111,5.385,6.737
2017-02-25,2017,Feb,2016-2017,1,,2,6.535,6.24875,6.22449652777778,5.411,6.687
2017-02-26,2017,Feb,2016-2017,1,,2,6.484,6.226375,6.13378298611111,5.282,6.585
2017-02-27,2017,Feb,2016-2017,1,,2,6.636,6.344125,6.27617361111111,5.437,6.914
2017-02-28,2017,Feb,2016-2017,1,,2,6.484,6.411125,6.25208333333333,5.462,6.636
2017-03-01,2017,Mar,2016-2017,1,,2,6.433,6.484,6.44944965277778,6,6.712
2017-03-02,2017,Mar,2016-2017,1,,2,6.889,6.613625,6.693625,6.357,6.965
2017-03-03,2017,Mar,2016-2017,1,,2,6.737,6.83875,6.82347916666666,6.636,6.94
2017-03-04,2017,Mar,2016-2017,1,,2,6.636,6.611,6.60046701388889,6.433,6.914
2017-03-05,2017,Mar,2016-2017,1,,2,6.382,6.398125,6.36416319444444,5.898,6.6235
2017-03-06,2017,Mar,2016-2017,1,,2,6.281,6.2935,6.294828125,5.898,6.535
2017-03-07,2017,Mar,2016-2017,1,,2,6.382,6.306,6.22188715277778,5.565,6.535
2017-03-08,2017,Mar,2016-2017,1,,2,6.153,6.344,6.29237673611111,5.949,6.484
2017-03-09,2017,Mar,2016-2017,1,,2,5.847,6.028875,6.01239236111111,5.719,6.23
2017-03-10,2017,Mar,2016-2017,1,,2,6.357,6.083125,5.89167013888889,4.844,6.484
2017-03-11,2017,Mar,2016-2017,1,,2,6.458,6.2935,6.20687326388889,5.642,6.458
2017-03-12,2017,Mar,2016-2017,1,,2,6.889,6.6235,6.62567534722222,6.433,6.889
2017-03-13,2017,Mar,2016-2017,1,,2,7.091,7.0535,7.02232986111111,6.864,7.167
2017-03-14,2017,Mar,2016-2017,1,,2,6.914,7.091,7.08747395833333,6.914,7.142
2017-03-15,2017,Mar,2016-2017,1,,2,6.763,6.889,6.86785243055555,6.687,6.965
2017-03-16,2017,Mar,2016-2017,1,,2,6.712,6.784875,6.79401909722222,6.687,6.889
2017-03-17,2017,Mar,2016-2017,1,,2,6.99,6.9525,6.93421875,6.712,7.041
2017-03-18,2017,Mar,2016-2017,1,,2,6.889,6.923625,6.94352951388889,6.712,7.217
2017-03-19,2017,Mar,2016-2017,1,,2,6.914,6.889,6.90558854166667,6.636,7.318
2017-03-20,2017,Mar,2016-2017,1,,2,7.015,6.79425,6.76744270833333,6.331,7.192
2017-03-21,2017,Mar,2016-2017,1,,2,6.687,6.733875,6.67950694444444,6.255,7.167
2017-03-22,2017,Mar,2016-2017,1,,2,6.94,6.839,6.84407465277777,6.687,7.091
2017-03-23,2017,Mar,2016-2017,1,,2,6.864,6.864,6.88235416666667,6.661,7.192
