Date,Year,Month,WaterYear,TWtrMcmullin_northQ_level,TWtrMcmullin_northQ_flags,TWtrMcmullin_northUNESCO_Q_level,TWtrMcmullin_north,TWtrMcmullin_northMed,TWtrMcmullin_northAvg,TWtrMcmullin_northMin,TWtrMcmullin_northMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2016-02-05,2016,Feb,2015-2016,1,,2,7.845,7.95125,7.93380208333333,7.8075,8.07
2016-02-06,2016,Feb,2015-2016,1,,2,7.895,7.77,7.77598958333333,7.645,7.895
2016-02-07,2016,Feb,2015-2016,1,,2,7.92,7.8825,7.83530381944444,7.569,7.945
2016-02-08,2016,Feb,2015-2016,1,,2,8.17,8.1075,8.10064236111111,7.92,8.295
2016-02-09,2016,Feb,2015-2016,1,,2,8.12,8.141875,8.12546875,7.97,8.22
2016-02-10,2016,Feb,2015-2016,1,,2,8.145,8.12,8.12377604166667,8.095,8.17
2016-02-11,2016,Feb,2015-2016,1,,2,8.22,8.12,8.11309895833334,8.02,8.22
2016-02-12,2016,Feb,2015-2016,1,,2,8.12,8.195,8.1996875,8.12,8.27
2016-02-13,2016,Feb,2015-2016,1,,2,8.07,8.02,8.02998263888889,7.945,8.12
2016-02-14,2016,Feb,2015-2016,1,,2,8.145,8.12,8.11500868055556,7.995,8.17
2016-02-15,2016,Feb,2015-2016,1,,2,8.17,8.091875,8.09999131944444,8.045,8.17
2016-02-16,2016,Feb,2015-2016,1,,2,8.245,8.2575,8.23025173611111,8.02,8.344
2016-02-17,2016,Feb,2015-2016,1,,2,8.27,8.17,8.18610243055556,8.12,8.27
2016-02-18,2016,Feb,2015-2016,1,,2,8.369,8.298,8.29660590277778,8.145,8.369
2016-02-19,2016,Feb,2015-2016,1,,2,8.245,8.307,8.309125,8.195,8.394
2016-02-20,2016,Feb,2015-2016,1,,2,8.27,8.110625,8.17588715277777,7.895,8.568
2016-02-21,2016,Feb,2015-2016,1,,2,7.995,8.21375,8.169484375,7.845,8.419
2016-02-22,2016,Feb,2015-2016,1,,2,8.369,8.060625,8.18001736111111,7.87,8.543
2016-02-23,2016,Feb,2015-2016,1,,2,8.394,8.353375,8.26864409722222,7.82,8.444
2016-02-24,2016,Feb,2015-2016,1,,2,8.618,8.35075,8.36627083333333,8.045,8.717
2016-02-25,2016,Feb,2015-2016,1,,2,8.792,8.668,8.66499652777778,8.469,8.817
2016-02-26,2016,Feb,2015-2016,1,,2,8.767,8.792,8.79264756944445,8.742,8.866
2016-02-27,2016,Feb,2015-2016,1,,2,8.817,8.792,8.82339236111111,8.693,8.965
2016-02-28,2016,Feb,2015-2016,1,,2,8.99,8.738875,8.78047743055556,8.668,8.99
2016-02-29,2016,Feb,2015-2016,1,,2,8.916,8.980625,8.93085763888889,8.717,9.04
2016-03-01,2016,Mar,2015-2016,1,,2,8.643,8.68,8.70954340277778,8.568,8.916
2016-03-02,2016,Mar,2015-2016,1,,2,8.841,8.767,8.73300347222222,8.519,8.841
2016-03-03,2016,Mar,2015-2016,1,,2,8.817,8.841,8.84630555555556,8.792,8.916
2016-03-04,2016,Mar,2015-2016,1,,2,8.866,8.8535,8.835609375,8.767,8.891
2016-03-05,2016,Mar,2015-2016,1,,2,8.965,8.866,8.88425173611111,8.742,8.99
2016-03-06,2016,Mar,2015-2016,1,,2,8.742,8.912875,8.88941493055555,8.717,8.965
2016-03-07,2016,Mar,2015-2016,1,,2,8.792,8.689875,8.71007986111111,8.519,8.941
2016-03-08,2016,Mar,2015-2016,1,,2,8.469,8.6305,8.63407465277778,8.469,8.792
2016-03-09,2016,Mar,2015-2016,1,,2,8.742,8.668,8.67027604166667,8.444,8.866
2016-03-10,2016,Mar,2015-2016,1,,2,8.668,8.689875,8.69698958333333,8.618,8.792
2016-03-11,2016,Mar,2015-2016,1,,2,8.618,8.668,8.65242708333334,8.519,8.717
2016-03-12,2016,Mar,2015-2016,1,,2,8.22,8.568,8.50084375,8.22,8.717
2016-03-13,2016,Mar,2015-2016,1,,2,8.469,8.27,8.371859375,8.12,8.717
2016-03-14,2016,Mar,2015-2016,1,,2,8.344,8.419,8.440828125,8.344,8.568
2016-03-15,2016,Mar,2015-2016,1,,2,8.767,8.630375,8.57198090277778,8.295,8.792
2016-03-16,2016,Mar,2015-2016,1,,2,8.742,8.7795,8.76711284722222,8.618,8.891
2016-03-17,2016,Mar,2015-2016,1,,2,8.593,8.62425,8.59304340277778,8.369,8.767
2016-03-18,2016,Mar,2015-2016,1,,2,8.568,8.568,8.53405729166667,8.394,8.618
2016-03-19,2016,Mar,2015-2016,1,,2,8.643,8.583625,8.60953645833334,8.543,8.693
2016-03-20,2016,Mar,2015-2016,1,,2,8.668,8.6555,8.65337326388889,8.593,8.693
2016-03-21,2016,Mar,2015-2016,1,,2,8.742,8.693,8.70909375,8.618,8.817
2016-03-22,2016,Mar,2015-2016,1,,2,8.767,8.77325,8.75640104166667,8.643,8.916
2016-03-23,2016,Mar,2015-2016,1,,2,8.717,8.792,8.77351041666667,8.717,8.817
2016-03-24,2016,Mar,2015-2016,1,,2,8.742,8.7295,8.74431076388889,8.618,8.866
2016-03-25,2016,Mar,2015-2016,1,,2,8.767,8.742,8.72212326388889,8.543,8.817
2016-03-26,2016,Mar,2015-2016,1,,2,8.767,8.767,8.77151388888889,8.742,8.792
2016-03-27,2016,Mar,2015-2016,1,,2,8.916,8.767,8.79888715277778,8.593,8.99
2016-03-28,2016,Mar,2015-2016,1,,2,8.99,8.9285,8.90517013888889,8.668,9.089
2016-03-29,2016,Mar,2015-2016,1,,2,9.114,8.956,8.97054861111111,8.841,9.163
2016-03-30,2016,Mar,2015-2016,1,,2,9.139,9.064,9.06013020833334,8.891,9.238
2016-03-31,2016,Mar,2015-2016,1,,2,9.188,9.1265,9.06915798611111,8.817,9.213
2016-04-01,2016,Apr,2015-2016,1,,2,9.312,9.213,9.19125,8.965,9.312
2016-04-02,2016,Apr,2015-2016,1,,2,9.534,9.312,9.32232291666667,9.213,9.534
2016-04-03,2016,Apr,2015-2016,1,,2,9.336,9.357875,9.38020486111111,9.262,9.583
2016-04-04,2016,Apr,2015-2016,1,,2,9.287,9.2995,9.28403645833333,9.139,9.361
2016-04-05,2016,Apr,2015-2016,1,,2,9.213,9.262,9.27308680555556,9.188,9.41
2016-04-06,2016,Apr,2015-2016,1,,2,9.238,9.213,9.20427604166666,9.188,9.238
2016-04-07,2016,Apr,2015-2016,1,,2,9.312,9.253,9.26330902777778,9.188,9.361
2016-04-08,2016,Apr,2015-2016,1,,2,9.287,9.312,9.320515625,9.262,9.41
2016-04-09,2016,Apr,2015-2016,1,,2,9.386,9.3485,9.36949479166667,9.064,9.805
2016-04-10,2016,Apr,2015-2016,1,,2,9.386,9.361,9.36323611111111,9.312,9.435
2016-04-11,2016,Apr,2015-2016,1,,2,9.361,9.336,9.34947395833333,9.287,9.485
2016-04-12,2016,Apr,2015-2016,1,,2,9.435,9.34225,9.36605902777778,9.312,9.558
2016-04-13,2016,Apr,2015-2016,1,,2,9.46,9.351625,9.35276909722222,9.114,9.509
2016-04-14,2016,Apr,2015-2016,1,,2,9.632,9.382875,9.41604166666666,9.312,9.632
2016-04-15,2016,Apr,2015-2016,1,,2,9.46,9.485,9.49608333333333,9.41,9.657
2016-04-16,2016,Apr,2015-2016,1,,2,9.41,9.41,9.39694097222222,9.287,9.485
2016-04-17,2016,Apr,2015-2016,1,,2,9.534,9.435,9.45124305555556,9.41,9.534
2016-04-18,2016,Apr,2015-2016,1,,2,9.632,9.509,9.54292013888889,9.485,9.657
2016-04-19,2016,Apr,2015-2016,1,,2,9.657,9.5955,9.63324826388889,9.509,9.977
2016-04-20,2016,Apr,2015-2016,1,,2,9.78,9.678875,9.69735590277778,9.608,9.952
2016-04-21,2016,Apr,2015-2016,1,,2,9.756,9.768,9.77388888888889,9.608,10.001
2016-04-22,2016,Apr,2015-2016,1,,2,9.78,9.7925,9.78599305555556,9.682,9.903
2016-04-23,2016,Apr,2015-2016,1,,2,9.756,9.894,9.87195138888889,9.731,9.977
2016-04-24,2016,Apr,2015-2016,1,,2,9.879,9.903,9.99135590277778,9.756,10.492
2016-04-25,2016,Apr,2015-2016,1,,2,10.026,9.952,9.96980034722222,9.879,10.173
2016-04-26,2016,Apr,2015-2016,1,,2,10.051,10.026,10.0160052083333,9.977,10.051
2016-04-27,2016,Apr,2015-2016,1,,2,10.443,10.124,10.1552430555556,10.001,10.492
2016-04-28,2016,Apr,2015-2016,1,,2,10.1,10.198,10.1982760416667,10.026,10.443
2016-04-29,2016,Apr,2015-2016,1,,2,10.467,10.1365,10.2080225694444,10.001,10.516
2016-04-30,2016,Apr,2015-2016,1,,2,10.394,10.271,10.2918072916667,10.198,10.467
2016-05-01,2016,May,2015-2016,1,,2,10.418,10.357,10.3496180555556,10.222,10.541
2016-05-02,2016,May,2015-2016,1,,2,10.565,10.516,10.5681684027778,10.394,11.053
2016-05-03,2016,May,2015-2016,1,,2,10.467,10.553,10.5696423611111,10.271,10.858
2016-05-04,2016,May,2015-2016,1,,2,10.59,10.457875,10.5335017361111,10.271,10.932
2016-05-05,2016,May,2015-2016,1,,2,10.222,10.412125,10.4244791666667,10.001,11.053
2016-05-06,2016,May,2015-2016,1,,2,10.149,10.109125,10.1851475694444,9.879,10.785
2016-05-07,2016,May,2015-2016,1,,2,9.928,10.1335,10.127515625,9.805,10.541
2016-05-08,2016,May,2015-2016,1,,2,10.173,10.2315,10.2726579861111,9.9645,10.687
2016-05-09,2016,May,2015-2016,1,,2,9.928,10.163875,10.1753072916667,9.78,10.687
2016-05-10,2016,May,2015-2016,1,,2,10.222,10.0135,10.0261284722222,9.706,10.247
2016-05-11,2016,May,2015-2016,1,,2,10.222,10.139625,10.1234236111111,9.756,10.418
2016-05-12,2016,May,2015-2016,1,,2,10.369,10.1,10.0909878472222,9.756,10.369
2016-05-13,2016,May,2015-2016,1,,2,10.614,10.3325,10.2772413194444,9.952,10.614
2016-05-14,2016,May,2015-2016,1,,2,10.98,10.608,10.5986840277778,10.222,10.98
2016-05-15,2016,May,2015-2016,1,,2,11.516,11.169125,11.1789930555556,10.883,11.565
2016-05-16,2016,May,2015-2016,1,,2,11.297,11.294,11.3057690972222,10.883,11.613
2016-05-17,2016,May,2015-2016,1,,2,11.127,11.133,11.18603125,11.053,11.443
2016-05-18,2016,May,2015-2016,1,,2,11.565,11.212,11.3016215277778,11.053,11.589
2016-05-19,2016,May,2015-2016,1,,2,11.565,11.528,11.5928958333333,11.419,11.929
2016-05-20,2016,May,2015-2016,1,,2,11.273,11.558625,11.4446458333333,10.932,11.904
2016-05-21,2016,May,2015-2016,1,,2,11.053,11.157,11.1764652777778,10.785,11.565
2016-05-22,2016,May,2015-2016,1,,2,11.102,11.071875,11.0624010416667,10.712,11.443
2016-05-23,2016,May,2015-2016,1,,2,10.883,11.434,11.3701440972222,10.81,11.856
2016-05-24,2016,May,2015-2016,1,,2,10.834,11.151,11.1262100694444,10.687,11.492
2016-05-25,2016,May,2015-2016,1,,2,10.59,11.03225,10.9619027777778,10.467,11.37
2016-05-26,2016,May,2015-2016,1,,2,10.565,10.9195,10.9111822916667,10.565,11.224
2016-05-27,2016,May,2015-2016,1,,2,11.078,10.785,10.7672899305556,10.467,11.078
2016-05-28,2016,May,2015-2016,1,,2,11.904,10.886,11.02271875,10.565,11.904
2016-05-29,2016,May,2015-2016,1,,2,11.516,10.928625,10.9667291666667,10.516,11.892
2016-05-30,2016,May,2015-2016,1,,2,11.419,11.257375,11.2555434027778,10.687,11.832
2016-05-31,2016,May,2015-2016,1,,2,11.394,11.148,11.1066684027778,10.687,11.516
2016-06-01,2016,Jun,2015-2016,1,,2,11.589,11.504,11.5213350694444,11.078,12.389
2016-06-02,2016,Jun,2015-2016,1,,2,12.025,11.689,11.6792916666667,11.102,12.34
2016-06-03,2016,Jun,2015-2016,1,,2,11.832,11.807,11.8373836805556,11.516,12.195
2016-06-04,2016,Jun,2015-2016,1,,2,11.856,11.810125,11.8059097222222,10.956,12.461
2016-06-05,2016,Jun,2015-2016,1,,2,11.37,11.576625,11.5997534722222,11.102,12.34
2016-06-06,2016,Jun,2015-2016,1,,2,11.248,11.504,11.55153125,11.005,12.147
2016-06-07,2016,Jun,2015-2016,1,,2,10.736,11.55575,11.4762916666667,10.736,12.074
2016-06-08,2016,Jun,2015-2016,1,,2,10.956,11.227,11.1803194444444,10.59,11.613
2016-06-09,2016,Jun,2015-2016,1,,2,11.516,11.269625,11.3630902777778,10.858,12.292
