work_area,hakai_id,station,latitude,longitude,time,depth,temperature,salinity,dissolved_oxygen_ml_l,dissolved_oxygen_percent
CALVERT,018032_2015-03-11T16:18:41.833Z,KC12,51.6504,-128.07,2015-03-11T16:18:42Z,2.026,8.9048,29.6371,9.8075,
CALVERT,018032_2015-03-11T16:18:41.833Z,KC12,51.6504,-128.07,2015-03-11T16:18:42Z,3.025,8.8958,29.6896,9.6781,
CALVERT,018032_2015-03-11T16:18:41.833Z,KC12,51.6504,-128.07,2015-03-11T16:18:42Z,3.921,8.8877,29.727,9.6033,
CALVERT,018032_2015-03-11T16:18:41.833Z,KC12,51.6504,-128.07,2015-03-11T16:18:42Z,4.966,8.883,29.7513,9.524,
CALVERT,018032_2015-03-11T16:18:41.833Z,KC12,51.6504,-128.07,2015-03-11T16:18:42Z,5.962,8.8803,29.7696,9.4575,
CALVERT,018032_2015-03-11T16:18:41.833Z,KC12,51.6504,-128.07,2015-03-11T16:18:42Z,6.913,8.8834,29.7837,9.3987,
CALVERT,018032_2015-04-01T18:39:18.000Z,KC12,51.6504,-128.07,2015-04-01T18:39:18Z,0.905,9.2155,26.9193,7.4522,
CALVERT,018032_2015-04-01T18:39:18.000Z,KC12,51.6504,-128.07,2015-04-01T18:39:18Z,1.946,9.1927,27.3099,7.3547,
CALVERT,018032_2015-04-01T18:39:18.000Z,KC12,51.6504,-128.07,2015-04-01T18:39:18Z,2.923,9.1947,27.4305,7.3089,
CALVERT,018032_2015-04-01T18:39:18.000Z,KC12,51.6504,-128.07,2015-04-01T18:39:18Z,3.938,9.217,27.5722,7.273,
CALVERT,018032_2015-04-01T18:39:18.000Z,KC12,51.6504,-128.07,2015-04-01T18:39:18Z,4.981,9.288,28.0766,7.2142,
CALVERT,018032_2015-04-01T18:39:18.000Z,KC12,51.6504,-128.07,2015-04-01T18:39:18Z,5.984,9.3597,28.9786,7.1607,
CALVERT,018032_2015-04-23T20:40:11.833Z,KC12,51.6504,-128.07,2015-04-23T20:40:12Z,0.982,9.764,26.8168,9.3902,
CALVERT,018032_2015-04-23T20:40:11.833Z,KC12,51.6504,-128.07,2015-04-23T20:40:12Z,2.003,9.5515,28.083,9.0295,
CALVERT,018032_2015-04-23T20:40:11.833Z,KC12,51.6504,-128.07,2015-04-23T20:40:12Z,2.939,9.5159,28.184,8.7236,
CALVERT,018032_2015-04-23T20:40:11.833Z,KC12,51.6504,-128.07,2015-04-23T20:40:12Z,3.994,9.4186,28.5301,8.3013,
CALVERT,018032_2015-04-23T20:40:11.833Z,KC12,51.6504,-128.07,2015-04-23T20:40:12Z,4.938,9.3171,29.2088,7.928,
CALVERT,018032_2015-04-23T20:40:11.833Z,KC12,51.6504,-128.07,2015-04-23T20:40:12Z,5.886,9.289,29.5423,7.67,
CALVERT,018032_2015-04-23T20:40:11.833Z,KC12,51.6504,-128.07,2015-04-23T20:40:12Z,6.91,9.281,29.6158,7.4604,
CALVERT,018032_2015-05-13T16:55:10.333Z,KC12,51.6504,-128.07,2015-05-13T16:55:11Z,0.978,11.1606,27.6443,8.6163,
CALVERT,018032_2015-05-13T16:55:10.333Z,KC12,51.6504,-128.07,2015-05-13T16:55:11Z,2.056,10.5286,28.3405,8.0311,
CALVERT,018032_2015-05-13T16:55:10.333Z,KC12,51.6504,-128.07,2015-05-13T16:55:11Z,2.968,10.1634,28.7402,7.6292,
